Country Name,Country Code,Series,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,1979198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,29.04142,27.41422,..,29.10315,40.00014,42.75143,..,..,31.05335,25.30797,20.95758,20.88291,68.98685,93.36218,104.66382,98.09989,101.69785,98.93351,100.77973,96.8964,100.07171,97.64164,103.49239,104.49843,105.91971,103.53452,102.48647,102.17579,103.99616,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,..,..,12.98001,..,17.04585,23.68841,25.1661,39.2553,39.00791,53.41088,61.19269,67.41914,63.55974,63.44026,62.23646,62.59302,62.14208,63.23397,66.32325,68.90156,..,..,..,..,..,..,..
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.44885,..,..,..,..,..,..,43.01972,..,..,..,..,..,..,..
Albania,ALB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,8857,12550,16338,..,20987,22233,..,..,..,23142,32820,29727,24907,16471,9113,4527,3929,3988,3628,4085,3359,..,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,99.45175,101.23315,99.55587,98.52026,101.52879,104.04384,106.30182,108.01988,107.17116,105.73665,104.19619,102.96737,101.41151,100.00514,98.178,100.67604,97.87571,96.34563,95.6825,93.10456,93.49047,95.00608,97.58513,99.98391,104.10804,105.54298,105.55386,107.0466,106.99342,104.81274,..,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,97.92821,97.03807,95.48221,97.04227,94.9902,97.49053,94.5447,96.48063,95.96256,96.59008,96.50285,94.6751,94.23092,91.90893,93.64137,97.19908,97.69702,99.61585,97.94239,96.15841,98.26788,97.19145,..,..,..,..,..,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,3.44698,3.81464,3.08351,3.37947,3.53698,3.59293,3.43017,3.4587,3.1178,3.13824,3.22752,3.28155,3.19146,3.27593,..,..,..,..,..,3.5393,..,3.43797,3.96209,3.61172,..,..,..,..,..,..,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,98.71298,..,..,..,..,..,..,95.93864,..,..,96.8453,97.24697,..,..,..,..,..,98.14115,..,..,..,..,..,..,..
