country_name,country_code,year,inflation,unemployment,trade_pct_gdp,govt_expenditure,urban_pop_pct,internet_users,liquid_liabilities_gdp,bank_zscore,bank_npl,bank_capital_ratio,bank_roa,life_expectancy,clean_water_access,primary_enrollment,secondary_enrollment,edu_expenditure,log_gdp_per_capita,log_private_credit_gdp,income_idx,health_idx,education_idx,hdi_proxy,hdi_proxy_t5
Angola,AGO,2017,29.8444799,16.617,45.66434235,14.55965041,65.08505251,26.0,29.97325,8.975831,5.3000002,10.6,1.229534,62.122,69.35958846,110.0,50.67148,3.42132,7.934412767193611,2.828496945194451,0.5509442966311292,0.6809433172974121,0.4337760037198209,0.5552212058827873,
Angola,AGO,2018,19.62893797,16.602,58.91648008,13.853206,65.87321367,29.0,29.02633,12.03643,5.3000002,10.6,3.094245,62.622,69.35958846,110.0,50.67148,3.42132,7.958959225125385,2.6968099319696077,0.553786398549191,0.6877576567948244,0.4337760037198209,0.5584400196879454,
Angola,AGO,2019,17.08095414,16.497,60.71482433,14.65210247,66.66378232,32.1294,31.44369,15.27698,5.3000002,10.6,-0.9818856,63.051,69.35958846,110.0,50.67148,3.42132,7.82191528006083,2.709670221493607,0.5379188196011688,0.693604360083604,0.4337760037198209,0.5550997278015313,
Angola,AGO,2020,22.27153925,16.696,54.34422868,14.65210247,67.45682702,36.6347,35.91101,8.44287,5.3000002,10.6,-2.3697,63.116,69.35958846,110.0,50.67148,3.42132,7.47327145335041,2.5391896372527607,0.4975512320914674,0.6944902242182677,0.4337760037198209,0.5419391533431853,
Angola,AGO,2021,25.75429488,15.799,61.52621367,14.65210247,68.25241636,39.3876,22.27298,15.54836,5.3000002,10.6,3.763863,62.958,69.35958846,110.0,50.67148,3.42132,7.742796096501902,2.2408919067159054,0.5287580362419845,0.6923368929370853,0.4337760037198209,0.5516236442996302,
Albania,ALB,2017,1.986661332,13.616,76.78738179,23.43816296,55.98027643,62.4,71.45648,21.7047,13.232533,10.167439,0.7433195,78.9,70.63694076,107.0466,95.26589,3.61172,8.518664135048018,3.513408478413935,0.6185916100571456,0.9096052934725779,0.8593794915863104,0.7958587983720112,
Albania,ALB,2018,2.028059631,12.304,75.69407837,22.92932243,56.37700026,65.4,68.48411,19.98183,11.084582,10.148724,0.5195097,79.238,70.65335205,106.99342,95.43233,3.61172,8.68247955744659,3.451300334540937,0.6375589139142294,0.9142117869728285,0.8609679741903071,0.8042462250257882,
Albania,ALB,2019,1.41109079,11.466,75.38212893,22.87839615,56.76390713,68.5504,69.82919,20.55072,8.368958,10.452675,1.014829,79.467,70.66585394,104.81274,95.08659,3.61172,8.71118620944459,3.476503041063986,0.6408827022559697,0.9173327544626433,0.8576682747460279,0.8052945771548803,
Albania,ALB,2020,1.620886617,11.639,59.52069944,24.60481616,57.14085922,72.2377,77.39526,20.24314,8.1138999,10.391946,0.9954559,77.824,70.6745369,104.81274,95.08659,3.61172,8.704322092226272,3.5878382080775615,0.6400879431601277,0.8949408348741466,0.8576682747460279,0.7975656842601008,
Albania,ALB,2021,2.041471631,11.474,75.59040409,24.39832371,57.5077187,79.3237,74.46411,19.05608,8.1138999,10.391946,1.145006,76.844,70.70579623,104.81274,95.08659,3.61172,8.887853599581351,3.5318653452506066,0.6613380661118161,0.8815847294592185,0.8576682747460279,0.8001970234390209,
United Arab Emirates,ARE,2017,1.966825578,2.462,165.4765425,3.887390179,84.68667572,94.8199,85.87569,26.54524,5.2952865,16.0,1.505881,82.388,98.60168964,108.39706,104.94793,4.12402,10.685895269516752,4.372206701568557,0.8695236093409906,0.9571421258065258,0.9517836739415174,0.926149803029678,
United Arab Emirates,ARE,2018,3.068633793,2.236,154.747005,3.798088766,84.86018058,98.45,79.46652,25.3181,5.6104365,16.0,1.567234,82.449,98.62806758,108.39706,104.94793,4.12402,10.760799939523547,4.321215956487534,0.8781964169163161,0.9579734752252099,0.9517836739415174,0.9293178553610145,
United Arab Emirates,ARE,2019,-1.931081148,2.331,163.8221529,4.102894693,85.02982634,99.15,85.8258,24.59051,6.457488,16.0,1.612956,82.596,98.63044449,108.39706,104.94793,4.12402,10.73508292940639,4.339194809296001,0.8752187830766828,0.9599768910374492,0.9517836739415174,0.9289931160185497,
United Arab Emirates,ARE,2020,-2.079403179,4.294,181.2918882,5.145953929,85.19552557,100.0,103.6746,22.13758,8.1549577,16.0,0.6739708,81.936,98.63275346,108.39706,104.94793,4.12402,10.545150612607644,4.46149667840672,0.8532275449364993,0.9509819629008651,0.9517836739415174,0.918664393926294,
United Arab Emirates,ARE,2021,0.179935336,3.105,182.9093551,4.262214499,85.35719085,100.0,103.6746,22.2884,8.1549577,16.0,1.042034,79.083,98.6349941,108.39706,104.94793,4.12402,10.694657247556469,4.46149667840672,0.8705381115010135,0.9120993417286306,0.9517836739415174,0.9114737090570538,
Argentina,ARG,2017,34.27722371,8.347,25.28960114,24.28253204,91.67760284,74.2949,28.47554,7.50613,1.8303637,11.565904,2.520943,76.543,69.35958846,109.74146,108.7336,5.46223,9.584211672483258,2.796050089353555,0.7419656100186895,0.8774824970817765,0.9879136363271961,0.8691205811425541,
Argentina,ARG,2018,34.27722371,9.22,30.76253595,22.67094305,91.76799413,77.7,28.47554,7.21939,3.1085722,11.038654,2.686082,76.77,69.35958846,109.74146,108.7336,5.46223,9.371931862185065,2.796050089353555,0.717386876187063,0.8805762072136015,0.9879136363271961,0.8619589065759535,
Argentina,ARG,2019,53.54830435,9.843,32.63061505,22.03648457,91.85678445,79.947,28.47554,9.317062,5.7484931,13.471998,4.053496,76.847,69.35958846,109.74146,108.7336,5.46223,9.206028568196468,2.796050089353555,0.6981778289441443,0.881625615496203,0.9879136363271961,0.8559056935891811,
Argentina,ARG,2020,42.01509474,11.461,30.20369881,25.84054525,91.94390266,85.5144,28.47554,9.249464,3.8612578,15.497161,2.515532,75.878,69.35958846,109.74146,108.7336,5.46223,9.052118008417084,2.796050089353555,0.680357355685853,0.8684194255502181,0.9879136363271961,0.8455634725210891,
Argentina,ARG,2021,48.40937863,8.736,33.07868957,22.89679039,92.02927762,87.1507,28.47554,9.083421,3.8612578,15.497161,1.292926,73.948,69.35958846,109.74146,108.7336,5.46223,9.28163892254106,2.796050089353555,0.706932343901267,0.8421160750902067,0.9879136363271961,0.8456540184395566,
Armenia,ARM,2017,0.969553269,17.704,87.20237654,22.62972499,64.71249486,64.7449,37.36695,14.88844,5.4323178,15.707337,0.7838517,75.21707317,82.69294008,94.08352,86.00589,2.70759,8.261023671973929,3.9088660274129245,0.5887608109940613,0.8594118659450812,0.7710032063603438,0.7397252944331622,
Armenia,ARM,2018,2.52023382,18.966,92.47310702,22.07681376,64.85028338,68.2451,36.79517,14.4391,4.7543983,15.017646,1.211656,75.6195122,82.57940936,92.71525,83.15068,2.70759,8.342126603099194,3.9819790129506445,0.5981512817802018,0.8648965782999397,0.7437534381810748,0.7356004327537388,
Armenia,ARM,2019,1.443446608,18.304,97.84700487,21.75848057,65.00470336,66.5439,37.60079,14.2648,5.5066658,14.139088,1.420894,76.22195122,82.42792151,91.84506,86.47233,2.70759,8.433426480943805,4.0662985917399785,0.6087224020070876,0.8731070263174763,0.7754548515526549,0.7524280932924062,
Armenia,ARM,2020,1.211435778,18.175,70.12135714,26.58128778,65.17421725,76.5077,41.53059,12.8254,6.5548157,13.127716,0.8731886,73.37560976,82.27677099,91.84506,86.47233,2.70759,8.359294380479952,4.249461774806051,0.600139046090569,0.8343151522494763,0.7754548515526549,0.7366363499642334,
Armenia,ARM,2021,7.184836294,15.469,79.24890576,24.9685295,65.35728753,78.6123,42.45831,12.31924,6.5548157,13.127716,0.7140163,72.27804878,82.12598288,91.84506,86.47233,2.70759,8.452373024433532,4.0944398910115005,0.6109161200474853,0.8193568459758113,0.7754548515526549,0.7352426058586504,
Australia,AUS,2017,1.948647409,5.592,42.03541353,26.52761698,87.12809266,86.545,113.7333,13.63942,0.85701375,6.9200265,0.7947577,82.5,69.35958846,100.33898,110.0,5.12425,10.898932247482694,4.9283711764731635,0.8941900115313997,0.958668537853946,1.0,0.9509528497951152,
Australia,AUS,2018,1.911400944,5.345,43.57322536,26.13172274,87.22676808,90.0,110.7433,13.97005,0.90185519,6.8856613,0.8153956,82.74878049,69.35958846,100.16059,110.0,5.12425,10.957994227648738,4.920590958698334,0.9010284795328116,0.9620590872923312,1.0,0.9543625222750477,
Australia,AUS,2019,1.610767873,5.143,46.00168271,26.07119019,87.30196479,93.6099,120.0056,13.46988,0.96149316,7.4114843,0.6021612,82.9,69.35958846,100.16059,110.0,5.12425,10.918641390725995,4.897566628314579,0.8964720268824875,0.9641200094518759,1.0,0.9535306787781211,
Australia,AUS,2020,0.846905537,6.394,44.4995641,30.14349881,87.27134705,94.6935,138.2031,13.24647,1.1077827,7.9980324,0.4034515,83.2,69.35958846,100.16059,110.0,5.12425,10.858699959971664,4.970803087352205,0.8895317320427285,0.9682086131503232,1.0,0.9525801150643506,
Australia,AUS,2021,2.863910422,5.022,40.20223594,32.55181794,87.23534076,96.9722,133.4562,14.14526,1.1077827,7.9980324,0.6425552,83.3,69.35958846,100.16059,110.0,5.12425,11.014685383963245,4.897515866893248,0.9075924426327601,0.9695714810498056,1.0,0.9590546412275218,
