country_name,country_code,base_year,forecast_year,current_hdi,forecast_hdi,hdi_change
Angola,AGO,2017,2022,0.5552212058827873,0.6323876,0.0772
Angola,AGO,2018,2023,0.5584400196879454,0.6323876,0.0739
Angola,AGO,2019,2024,0.5550997278015313,0.6323876,0.0773
Angola,AGO,2020,2025,0.5419391533431853,0.6323876,0.0904
Angola,AGO,2021,2026,0.5516236442996302,0.6323876,0.0808
Albania,ALB,2017,2022,0.7958587983720112,0.8150034,0.0191
Albania,ALB,2018,2023,0.8042462250257882,0.8150034,0.0108
Albania,ALB,2019,2024,0.8052945771548803,0.8150034,0.0097
Albania,ALB,2020,2025,0.7975656842601008,0.8150034,0.0174
Albania,ALB,2021,2026,0.8001970234390209,0.8150034,0.0148
United Arab Emirates,ARE,2017,2022,0.926149803029678,0.897058,-0.0291
United Arab Emirates,ARE,2018,2023,0.9293178553610144,0.897058,-0.0323
United Arab Emirates,ARE,2019,2024,0.9289931160185496,0.897058,-0.0319
United Arab Emirates,ARE,2020,2025,0.918664393926294,0.897058,-0.0216
United Arab Emirates,ARE,2021,2026,0.9114737090570538,0.897058,-0.0144
Argentina,ARG,2017,2022,0.8691205811425541,0.86880016,-0.0003
Argentina,ARG,2018,2023,0.8619589065759535,0.86880016,0.0068
Argentina,ARG,2019,2024,0.8559056935891811,0.86880016,0.0129
Argentina,ARG,2020,2025,0.8455634725210891,0.86880016,0.0232
Argentina,ARG,2021,2026,0.8456540184395566,0.86880016,0.0231
Armenia,ARM,2017,2022,0.7397252944331622,0.78836644,0.0486
Armenia,ARM,2018,2023,0.7356004327537388,0.78836644,0.0528
Armenia,ARM,2019,2024,0.7524280932924062,0.78836644,0.0359
Armenia,ARM,2020,2025,0.7366363499642334,0.78836644,0.0517
Armenia,ARM,2021,2026,0.7352426058586504,0.78836644,0.0531
Australia,AUS,2017,2022,0.9509528497951152,0.920429,-0.0305
Australia,AUS,2018,2023,0.9543625222750476,0.920429,-0.0339
