country_name,country_code,base_year,forecast_year,current_hdi,forecast_hdi,hdi_change,change_pct
Angola,AGO,2017,2022,0.5552212058827873,0.5995125,0.0443,7.98
Angola,AGO,2018,2023,0.5584400196879454,0.59999704,0.0416,7.45
Angola,AGO,2019,2024,0.5550997278015313,0.6021825,0.0471,8.48
Angola,AGO,2020,2025,0.5419391533431853,0.5863952,0.0445,8.21
Angola,AGO,2021,2026,0.5516236442996302,0.5791465,0.0275,4.99
Albania,ALB,2017,2022,0.7958587983720112,0.8193283,0.0235,2.95
Albania,ALB,2018,2023,0.8042462250257882,0.81901735,0.0148,1.84
Albania,ALB,2019,2024,0.8052945771548803,0.82720155,0.0219,2.72
Albania,ALB,2020,2025,0.7975656842601008,0.8233663,0.0258,3.23
Albania,ALB,2021,2026,0.8001970234390209,0.8176597,0.0175,2.19
United Arab Emirates,ARE,2017,2022,0.926149803029678,0.93256444,0.0064,0.69
United Arab Emirates,ARE,2018,2023,0.9293178553610144,0.9299243,0.0006,0.06
United Arab Emirates,ARE,2019,2024,0.9289931160185496,0.93498343,0.006,0.65
United Arab Emirates,ARE,2020,2025,0.918664393926294,0.9291448,0.0105,1.14
United Arab Emirates,ARE,2021,2026,0.9114737090570538,0.92746675,0.016,1.76
Argentina,ARG,2017,2022,0.8691205811425541,0.87717426,0.0081,0.93
Argentina,ARG,2018,2023,0.8619589065759535,0.87378335,0.0118,1.37
Argentina,ARG,2019,2024,0.8559056935891811,0.8530418,-0.0029,-0.34
Argentina,ARG,2020,2025,0.8455634725210891,0.86204815,0.0165,1.95
Argentina,ARG,2021,2026,0.8456540184395566,0.8507178,0.0051,0.6
Armenia,ARM,2017,2022,0.7397252944331622,0.7539342,0.0142,1.92
Armenia,ARM,2018,2023,0.7356004327537388,0.745332,0.0097,1.32
Armenia,ARM,2019,2024,0.7524280932924062,0.76578623,0.0134,1.78
Armenia,ARM,2020,2025,0.7366363499642334,0.74304783,0.0064,0.87
Armenia,ARM,2021,2026,0.7352426058586504,0.75100607,0.0158,2.15
Australia,AUS,2017,2022,0.9509528497951152,0.9518327,0.0009,0.09
Australia,AUS,2018,2023,0.9543625222750476,0.94847804,-0.0059,-0.62
Australia,AUS,2019,2024,0.9535306787781213,0.9481909,-0.0053,-0.56
Australia,AUS,2020,2025,0.9525801150643506,0.9467662,-0.0058,-0.61
Australia,AUS,2021,2026,0.9590546412275218,0.9499999,-0.0091,-0.95
Austria,AUT,2017,2022,0.9113909632501996,0.92531186,0.0139,1.53
Austria,AUT,2018,2023,0.9131949405860212,0.9300204,0.0168,1.84
Austria,AUT,2019,2024,0.9131156486808282,0.9289678,0.0159,1.74
Austria,AUT,2020,2025,0.9090089232198796,0.9227368,0.0137,1.51
Austria,AUT,2021,2026,0.9127198691720968,0.9320772,0.0194,2.13
Azerbaijan,AZE,2017,2022,0.6922684130508826,0.713663,0.0214,3.09
Azerbaijan,AZE,2018,2023,0.7645172253252959,0.7758897,0.0114,1.49
Azerbaijan,AZE,2019,2024,0.7672350385615164,0.7706926,0.0035,0.46
Azerbaijan,AZE,2020,2025,0.748781416639417,0.75964653,0.0109,1.46
Azerbaijan,AZE,2021,2026,0.7613834205013553,0.76507866,0.0037,0.49
Burundi,BDI,2017,2022,0.4535993180077891,0.501835,0.0482,10.63
